term,uses
unrest,5
protests,3
peaceful,3
standoff,3
chaotic,2
tensions,2
violence,2
violent,2
tension,1
gathering,1
looting,1
civil disorder,1
chaos,1
fierce,1
volatile,1
confrontation,1
vandalism,1
outrage,1
simmering,1
skirmish,1
