date,wordcount
08/11/2014,1198
08/12/2014,2104
08/13/2014,2610
08/14/2014,4041
08/15/2014,17017
08/16/2014,5015
08/17/2014,4068
08/18/2014,8579
08/19/2014,5919
08/20/2014,7789
08/21/2014,12001
08/22/2014,6152
08/23/2014,4032
08/24/2014,6370
08/25/2014,7293
08/26/2014,1385
08/27/2014,2245
08/28/2014,1829
08/29/2014,387
08/31/2014,3475
09/02/2014,1142
09/03/2014,3048
09/04/2014,4393
09/05/2014,838
09/08/2014,1169
09/09/2014,1154
09/10/2014,2415
09/11/2014,876
