term,uses
crowd,7
looting,7
protesters,6
crowds,4
demonstrators,3
threw rocks,3
smashed,2
looted,2
gathering,1
jumping on cars,1
shattered,1
damaged,1
rioters,1
littered,1
assaulting,1
spray-painting,1
throwing things,1
rioting,1
yelling,1
protesting,1
rocks,1
set on fire,1
with guns,1
gunfire,1
